"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US150010201001","Block Group 1; Census Tract 201; Hawaii County; Hawaii","510","95","261","72","249","68",
"1500000US150010201002","Block Group 2; Census Tract 201; Hawaii County; Hawaii","248","58","207","58","41","20",
"1500000US150010201003","Block Group 3; Census Tract 201; Hawaii County; Hawaii","555","139","491","142","64","26",
"1500000US150010201004","Block Group 4; Census Tract 201; Hawaii County; Hawaii","331","82","241","66","90","54",
"1500000US150010202021","Block Group 1; Census Tract 202.02; Hawaii County; Hawaii","255","91","181","94","74","49",
"1500000US150010202022","Block Group 2; Census Tract 202.02; Hawaii County; Hawaii","371","53","303","53","68","29",
"1500000US150010203001","Block Group 1; Census Tract 203; Hawaii County; Hawaii","366","86","320","66","46","54",
"1500000US150010203002","Block Group 2; Census Tract 203; Hawaii County; Hawaii","524","153","189","81","335","139",
"1500000US150010203003","Block Group 3; Census Tract 203; Hawaii County; Hawaii","909","197","182","68","727","183",
"1500000US150010204001","Block Group 1; Census Tract 204; Hawaii County; Hawaii","403","150","142","77","261","124",
"1500000US150010204002","Block Group 2; Census Tract 204; Hawaii County; Hawaii","314","112","185","76","129","88",
"1500000US150010204003","Block Group 3; Census Tract 204; Hawaii County; Hawaii","648","158","201","93","447","125",
"1500000US150010205001","Block Group 1; Census Tract 205; Hawaii County; Hawaii","579","246","118","136","461","226",
"1500000US150010205002","Block Group 2; Census Tract 205; Hawaii County; Hawaii","470","192","176","136","294","167",
"1500000US150010205003","Block Group 3; Census Tract 205; Hawaii County; Hawaii","354","111","34","40","320","103",
"1500000US150010205004","Block Group 4; Census Tract 205; Hawaii County; Hawaii","656","190","261","126","395","166",
"1500000US150010206001","Block Group 1; Census Tract 206; Hawaii County; Hawaii","482","105","288","94","194","74",
"1500000US150010206002","Block Group 2; Census Tract 206; Hawaii County; Hawaii","333","62","253","75","80","42",
"1500000US150010206003","Block Group 3; Census Tract 206; Hawaii County; Hawaii","497","65","467","59","30","18",
"1500000US150010206004","Block Group 4; Census Tract 206; Hawaii County; Hawaii","835","126","646","94","189","101",
"1500000US150010207011","Block Group 1; Census Tract 207.01; Hawaii County; Hawaii","910","147","546","139","364","136",
"1500000US150010207012","Block Group 2; Census Tract 207.01; Hawaii County; Hawaii","467","139","291","109","176","92",
"1500000US150010207013","Block Group 3; Census Tract 207.01; Hawaii County; Hawaii","449","108","407","104","42","37",
"1500000US150010207021","Block Group 1; Census Tract 207.02; Hawaii County; Hawaii","627","209","402","117","225","160",
"1500000US150010207022","Block Group 2; Census Tract 207.02; Hawaii County; Hawaii","708","122","620","118","88","48",
"1500000US150010207023","Block Group 3; Census Tract 207.02; Hawaii County; Hawaii","451","104","416","108","35","27",
"1500000US150010208011","Block Group 1; Census Tract 208.01; Hawaii County; Hawaii","481","95","474","94","7","12",
"1500000US150010208012","Block Group 2; Census Tract 208.01; Hawaii County; Hawaii","880","147","721","157","159","78",
"1500000US150010208013","Block Group 3; Census Tract 208.01; Hawaii County; Hawaii","294","77","206","77","88","40",
"1500000US150010208021","Block Group 1; Census Tract 208.02; Hawaii County; Hawaii","527","136","363","125","164","94",
"1500000US150010208022","Block Group 2; Census Tract 208.02; Hawaii County; Hawaii","172","75","107","72","65","57",
"1500000US150010208023","Block Group 3; Census Tract 208.02; Hawaii County; Hawaii","900","191","733","177","167","96",
"1500000US150010208024","Block Group 4; Census Tract 208.02; Hawaii County; Hawaii","315","105","194","98","121","66",
"1500000US150010208025","Block Group 5; Census Tract 208.02; Hawaii County; Hawaii","458","151","440","152","18","29",
"1500000US150010209001","Block Group 1; Census Tract 209; Hawaii County; Hawaii","298","96","228","88","70","48",
"1500000US150010209002","Block Group 2; Census Tract 209; Hawaii County; Hawaii","480","126","457","127","23","31",
"1500000US150010209003","Block Group 3; Census Tract 209; Hawaii County; Hawaii","287","80","211","67","76","55",
"1500000US150010209004","Block Group 4; Census Tract 209; Hawaii County; Hawaii","268","71","268","71","0","12",
"1500000US150010209005","Block Group 5; Census Tract 209; Hawaii County; Hawaii","374","122","292","118","82","55",
"1500000US150010210031","Block Group 1; Census Tract 210.03; Hawaii County; Hawaii","528","130","445","131","83","56",
"1500000US150010210032","Block Group 2; Census Tract 210.03; Hawaii County; Hawaii","521","187","394","162","127","98",
"1500000US150010210033","Block Group 3; Census Tract 210.03; Hawaii County; Hawaii","951","223","708","205","243","112",
"1500000US150010210034","Block Group 4; Census Tract 210.03; Hawaii County; Hawaii","140","117","68","65","72","103",
"1500000US150010210035","Block Group 5; Census Tract 210.03; Hawaii County; Hawaii","589","149","502","146","87","61",
"1500000US150010210111","Block Group 1; Census Tract 210.11; Hawaii County; Hawaii","579","182","329","145","250","124",
"1500000US150010210112","Block Group 2; Census Tract 210.11; Hawaii County; Hawaii","678","190","632","185","46","48",
"1500000US150010210113","Block Group 3; Census Tract 210.11; Hawaii County; Hawaii","294","119","234","97","60","68",
"1500000US150010210131","Block Group 1; Census Tract 210.13; Hawaii County; Hawaii","373","84","248","80","125","47",
"1500000US150010210132","Block Group 2; Census Tract 210.13; Hawaii County; Hawaii","499","120","373","118","126","74",
"1500000US150010210133","Block Group 3; Census Tract 210.13; Hawaii County; Hawaii","827","148","696","134","131","61",
"1500000US150010210141","Block Group 1; Census Tract 210.14; Hawaii County; Hawaii","487","234","340","190","147","146",
"1500000US150010210142","Block Group 2; Census Tract 210.14; Hawaii County; Hawaii","852","279","539","191","313","211",
"1500000US150010210143","Block Group 3; Census Tract 210.14; Hawaii County; Hawaii","1253","289","1052","283","201","150",
"1500000US150010210151","Block Group 1; Census Tract 210.15; Hawaii County; Hawaii","783","244","636","244","147","139",
"1500000US150010210152","Block Group 2; Census Tract 210.15; Hawaii County; Hawaii","1034","334","777","299","257","251",
"1500000US150010210161","Block Group 1; Census Tract 210.16; Hawaii County; Hawaii","874","219","824","222","50","57",
"1500000US150010210162","Block Group 2; Census Tract 210.16; Hawaii County; Hawaii","769","164","605","152","164","85",
"1500000US150010210163","Block Group 3; Census Tract 210.16; Hawaii County; Hawaii","255","111","174","98","81","67",
"1500000US150010210171","Block Group 1; Census Tract 210.17; Hawaii County; Hawaii","334","118","294","113","40","32",
"1500000US150010210172","Block Group 2; Census Tract 210.17; Hawaii County; Hawaii","437","138","372","132","65","36",
"1500000US150010210173","Block Group 3; Census Tract 210.17; Hawaii County; Hawaii","961","214","717","189","244","139",
"1500000US150010211011","Block Group 1; Census Tract 211.01; Hawaii County; Hawaii","38","32","38","32","0","12",
"1500000US150010211012","Block Group 2; Census Tract 211.01; Hawaii County; Hawaii","808","148","680","134","128","60",
"1500000US150010211013","Block Group 3; Census Tract 211.01; Hawaii County; Hawaii","556","164","451","157","105","65",
"1500000US150010211071","Block Group 1; Census Tract 211.07; Hawaii County; Hawaii","383","88","288","84","95","56",
"1500000US150010211081","Block Group 1; Census Tract 211.08; Hawaii County; Hawaii","685","268","438","203","247","169",
"1500000US150010211082","Block Group 2; Census Tract 211.08; Hawaii County; Hawaii","1002","189","906","196","96","66",
"1500000US150010211083","Block Group 3; Census Tract 211.08; Hawaii County; Hawaii","731","170","503","141","228","88",
"1500000US150010212031","Block Group 1; Census Tract 212.03; Hawaii County; Hawaii","536","140","440","131","96","67",
"1500000US150010212032","Block Group 2; Census Tract 212.03; Hawaii County; Hawaii","902","326","616","284","286","203",
"1500000US150010212033","Block Group 3; Census Tract 212.03; Hawaii County; Hawaii","703","245","534","217","169","143",
"1500000US150010212034","Block Group 4; Census Tract 212.03; Hawaii County; Hawaii","110","74","98","73","12","11",
"1500000US150010212041","Block Group 1; Census Tract 212.04; Hawaii County; Hawaii","237","76","162","66","75","47",
"1500000US150010212042","Block Group 2; Census Tract 212.04; Hawaii County; Hawaii","144","85","144","85","0","12",
"1500000US150010212043","Block Group 3; Census Tract 212.04; Hawaii County; Hawaii","692","119","578","114","114","39",
"1500000US150010213001","Block Group 1; Census Tract 213; Hawaii County; Hawaii","538","192","235","94","303","182",
"1500000US150010213002","Block Group 2; Census Tract 213; Hawaii County; Hawaii","552","176","374","148","178","111",
"1500000US150010213003","Block Group 3; Census Tract 213; Hawaii County; Hawaii","1048","239","872","238","176","88",
"1500000US150010213004","Block Group 4; Census Tract 213; Hawaii County; Hawaii","336","197","286","179","50","79",
"1500000US150010214021","Block Group 1; Census Tract 214.02; Hawaii County; Hawaii","366","75","315","76","51","25",
"1500000US150010214022","Block Group 2; Census Tract 214.02; Hawaii County; Hawaii","872","144","406","128","466","141",
"1500000US150010215021","Block Group 1; Census Tract 215.02; Hawaii County; Hawaii","670","137","374","103","296","120",
"1500000US150010215022","Block Group 2; Census Tract 215.02; Hawaii County; Hawaii","730","139","506","114","224","105",
"1500000US150010215023","Block Group 3; Census Tract 215.02; Hawaii County; Hawaii","423","133","207","71","216","115",
"1500000US150010215041","Block Group 1; Census Tract 215.04; Hawaii County; Hawaii","830","134","305","85","525","116",
"1500000US150010215042","Block Group 2; Census Tract 215.04; Hawaii County; Hawaii","904","209","506","106","398","177",
"1500000US150010215101","Block Group 1; Census Tract 215.10; Hawaii County; Hawaii","676","183","514","186","162","77",
"1500000US150010215102","Block Group 2; Census Tract 215.10; Hawaii County; Hawaii","290","84","141","51","149","75",
"1500000US150010215103","Block Group 3; Census Tract 215.10; Hawaii County; Hawaii","530","166","424","161","106","68",
"1500000US150010215104","Block Group 4; Census Tract 215.10; Hawaii County; Hawaii","185","75","83","45","102","68",
"1500000US150010215111","Block Group 1; Census Tract 215.11; Hawaii County; Hawaii","612","136","437","99","175","106",
"1500000US150010215121","Block Group 1; Census Tract 215.12; Hawaii County; Hawaii","760","135","647","137","113","91",
"1500000US150010215122","Block Group 2; Census Tract 215.12; Hawaii County; Hawaii","1068","250","628","191","440","204",
"1500000US150010215131","Block Group 1; Census Tract 215.13; Hawaii County; Hawaii","713","229","493","164","220","145",
"1500000US150010215132","Block Group 2; Census Tract 215.13; Hawaii County; Hawaii","751","204","548","213","203","124",
"1500000US150010215133","Block Group 3; Census Tract 215.13; Hawaii County; Hawaii","577","205","478","191","99","101",
"1500000US150010216051","Block Group 1; Census Tract 216.05; Hawaii County; Hawaii","407","125","336","131","71","75",
"1500000US150010216052","Block Group 2; Census Tract 216.05; Hawaii County; Hawaii","369","145","271","131","98","70",
"1500000US150010216053","Block Group 3; Census Tract 216.05; Hawaii County; Hawaii","817","230","317","178","500","162",
"1500000US150010216061","Block Group 1; Census Tract 216.06; Hawaii County; Hawaii","690","192","262","148","428","174",
"1500000US150010216062","Block Group 2; Census Tract 216.06; Hawaii County; Hawaii","683","200","611","183","72","77",
"1500000US150010216071","Block Group 1; Census Tract 216.07; Hawaii County; Hawaii","556","193","482","190","74","112",
"1500000US150010216072","Block Group 2; Census Tract 216.07; Hawaii County; Hawaii","754","247","669","243","85","74",
"1500000US150010216073","Block Group 3; Census Tract 216.07; Hawaii County; Hawaii","462","122","388","120","74","59",
"1500000US150010216081","Block Group 1; Census Tract 216.08; Hawaii County; Hawaii","261","140","172","87","89","114",
"1500000US150010216082","Block Group 2; Census Tract 216.08; Hawaii County; Hawaii","472","265","364","252","108","122",
"1500000US150010216083","Block Group 3; Census Tract 216.08; Hawaii County; Hawaii","728","163","496","160","232","107",
"1500000US150010216084","Block Group 4; Census Tract 216.08; Hawaii County; Hawaii","336","191","290","175","46","74",
"1500000US150010217051","Block Group 1; Census Tract 217.05; Hawaii County; Hawaii","1141","279","789","176","352","241",
"1500000US150010217052","Block Group 2; Census Tract 217.05; Hawaii County; Hawaii","564","256","446","242","118","89",
"1500000US150010217053","Block Group 3; Census Tract 217.05; Hawaii County; Hawaii","665","215","368","157","297","190",
